epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.1491,3.71626,0.05899,0.2571,3.50089,8.23643e-05,8.23643e-05,8.23643e-05
2,3.88506,3.29406,0.18354,0.49381,2.95898,0.000154762,0.000154762,0.000154762
3,5.50482,2.81122,0.34086,0.69993,2.27628,0.000216159,0.000216159,0.000216159
4,7.11582,2.36744,0.46468,0.82374,1.78436,0.0002005,0.0002005,0.0002005
5,8.73985,2.02609,0.55208,0.86744,1.49148,0.000184,0.000184,0.000184
6,10.8093,1.79409,0.59432,0.89366,1.32546,0.0001675,0.0001675,0.0001675
7,12.4282,1.65989,0.62709,0.90823,1.21427,0.000151,0.000151,0.000151
8,14.0623,1.57123,0.64967,0.90896,1.1392,0.0001345,0.0001345,0.0001345
9,15.6681,1.49201,0.66424,0.92061,1.07315,0.000118,0.000118,0.000118
10,17.2472,1.44547,0.67079,0.92935,1.0396,0.0001015,0.0001015,0.0001015
11,18.8243,1.39785,0.69119,0.93591,0.98744,8.5e-05,8.5e-05,8.5e-05
12,20.3974,1.33285,0.69483,0.93664,0.97905,6.85e-05,6.85e-05,6.85e-05
13,21.9339,1.32196,0.70357,0.93736,0.95024,5.2e-05,5.2e-05,5.2e-05
14,23.4937,1.33476,0.70138,0.94246,0.94877,3.55e-05,3.55e-05,3.55e-05
15,25.0258,1.28447,0.70138,0.94246,0.94407,1.9e-05,1.9e-05,1.9e-05
