epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,11694.5,0.21062,0.9733,0.99966,0.06497,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,11938,0.21056,0.97388,0.99966,0.06446,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,12180.3,0.20653,0.97437,0.9997,0.06428,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,12423.4,0.20563,0.97459,0.9997,0.06362,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,12666.2,0.20231,0.97453,0.99968,0.06338,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,12908.3,0.20057,0.97487,0.9997,0.06311,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,13151.2,0.20266,0.97457,0.99966,0.06299,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,13395.8,0.19776,0.97439,0.99972,0.06296,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,13636.5,0.19919,0.97441,0.99976,0.0629,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,13878.4,0.19634,0.97455,0.99974,0.0623,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,14121.3,0.1954,0.97465,0.99976,0.06222,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,14363.5,0.19293,0.97556,0.99976,0.0619,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,14604.8,0.18997,0.97594,0.99972,0.06121,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,14847.2,0.19192,0.97602,0.99972,0.06089,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
