epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,59.1717,0.55562,0.88744,1.09413,0.97249,0.98554,0.99111,0.84159,0.50432,0.47299,1.13436,0.00997525,0.00332508,0.00997525,0.00332508,0.00997525,0.00332508,0.00997525,0.00332508
2,113.883,0.58413,0.38619,1.09153,0.9774,0.99136,0.99403,0.84729,0.56491,0.40718,1.15515,0.0197775,0.0065925,0.0197775,0.0065925,0.0197775,0.0065925,0.0197775,0.0065925
3,166.306,0.63507,0.40882,1.11722,0.95551,0.96592,0.9892,0.84946,0.54276,0.43427,1.15933,0.0293817,0.00979391,0.0293817,0.00979391,0.0293817,0.00979391,0.0293817,0.00979391
4,218.283,0.64362,0.40183,1.12738,0.97867,0.98885,0.99429,0.83885,0.58638,0.35164,1.23567,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,270.265,0.59735,0.35761,1.09817,0.98999,0.98575,0.99459,0.87375,0.51071,0.29334,1.10659,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,322.96,0.57035,0.33128,1.08217,0.97784,0.98513,0.99379,0.88738,0.46444,0.30269,1.06357,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,375.095,0.55193,0.31472,1.07258,0.99613,0.99566,0.99491,0.90671,0.4184,0.23356,1.01619,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,427.139,0.53892,0.30603,1.06634,0.99374,0.99628,0.99481,0.9059,0.41043,0.22592,1.01255,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,479.071,0.52882,0.29712,1.05879,0.99444,0.99768,0.99499,0.91877,0.39578,0.20798,0.99437,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,530.901,0.51509,0.28702,1.05253,0.98173,0.9938,0.99439,0.91521,0.38931,0.21807,0.99032,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,582.69,0.50698,0.28405,1.04679,0.98497,0.99133,0.99471,0.91602,0.38787,0.20997,0.97935,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,634.599,0.49996,0.277,1.0387,0.99506,0.99822,0.99489,0.91828,0.38839,0.2187,0.98464,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,686.518,0.49315,0.27137,1.03881,0.99506,0.99926,0.99497,0.92167,0.38874,0.19994,0.99312,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,738.257,0.48813,0.26627,1.03666,0.99804,0.99938,0.99499,0.92896,0.36422,0.1862,0.967,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,790.086,0.48306,0.26239,1.03257,0.99866,0.99938,0.99499,0.92553,0.36939,0.18982,0.97496,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,843.107,0.47862,0.25986,1.03244,0.99448,0.99876,0.99499,0.92871,0.35873,0.18715,0.96257,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,895.194,0.47201,0.25284,1.02658,0.99734,0.99876,0.99498,0.92977,0.35115,0.18615,0.96093,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,947.053,0.46906,0.2525,1.02562,0.99823,1,0.995,0.93323,0.35521,0.1769,0.96167,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,998.941,0.46752,0.24896,1.02511,0.99827,0.99876,0.99497,0.93115,0.35166,0.17757,0.95831,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1050.76,0.46914,0.24935,1.02625,0.99734,0.99938,0.995,0.92998,0.35194,0.17729,0.95498,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1102.71,0.46712,0.24909,1.02586,0.99753,0.99992,0.99497,0.93324,0.35209,0.1748,0.9549,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
