epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
71,3269.83,0.08242,0.98366,0.9998,0.04109,0.000307,0.000307,0.000307
72,3314.56,0.08171,0.98364,0.99978,0.04103,0.0002971,0.0002971,0.0002971
73,3360.46,0.08083,0.9836,0.99978,0.04095,0.0002872,0.0002872,0.0002872
74,3407.35,0.07908,0.98366,0.99978,0.041,0.0002773,0.0002773,0.0002773
75,3452.87,0.08077,0.98375,0.99978,0.04061,0.0002674,0.0002674,0.0002674
76,3498.2,0.08061,0.98383,0.99978,0.04064,0.0002575,0.0002575,0.0002575
77,3544.41,0.07847,0.98389,0.99978,0.0403,0.0002476,0.0002476,0.0002476
78,3592.06,0.07758,0.98389,0.99978,0.04066,0.0002377,0.0002377,0.0002377
79,3638.07,0.07678,0.98387,0.99978,0.04023,0.0002278,0.0002278,0.0002278
80,3682.64,0.07669,0.98389,0.99978,0.04019,0.0002179,0.0002179,0.0002179
81,3727.49,0.07667,0.98395,0.9998,0.04013,0.000208,0.000208,0.000208
82,3771.9,0.07528,0.98387,0.9998,0.04013,0.0001981,0.0001981,0.0001981
83,3817.59,0.0752,0.98401,0.99982,0.03976,0.0001882,0.0001882,0.0001882
84,3864.73,0.07425,0.98407,0.9998,0.03954,0.0001783,0.0001783,0.0001783
85,3909.27,0.07275,0.98403,0.99978,0.03964,0.0001684,0.0001684,0.0001684
86,3954.22,0.07329,0.98409,0.99978,0.03945,0.0001585,0.0001585,0.0001585
87,3999.08,0.0726,0.98419,0.9998,0.03969,0.0001486,0.0001486,0.0001486
88,4046.12,0.07193,0.98427,0.9998,0.03911,0.0001387,0.0001387,0.0001387
89,4092.64,0.07086,0.98427,0.9998,0.03908,0.0001288,0.0001288,0.0001288
90,4138.31,0.07113,0.98437,0.9998,0.03908,0.0001189,0.0001189,0.0001189
91,4187.05,0.0704,0.98443,0.9998,0.03899,0.000109,0.000109,0.000109
92,4231.22,0.07029,0.98437,0.9998,0.03886,9.91e-05,9.91e-05,9.91e-05
93,4276.41,0.06919,0.98449,0.9998,0.03884,8.92e-05,8.92e-05,8.92e-05
94,4320.95,0.0688,0.98457,0.9998,0.03854,7.93e-05,7.93e-05,7.93e-05
95,4366.83,0.06952,0.98459,0.9998,0.03868,6.94e-05,6.94e-05,6.94e-05
96,4412.48,0.06741,0.98463,0.99982,0.03863,5.95e-05,5.95e-05,5.95e-05
97,4457.15,0.06672,0.98463,0.99982,0.03852,4.96e-05,4.96e-05,4.96e-05
98,4501.33,0.06721,0.98449,0.99982,0.03832,3.97e-05,3.97e-05,3.97e-05
99,4545.64,0.06601,0.98451,0.99982,0.03817,2.98e-05,2.98e-05,2.98e-05
100,4590.81,0.06619,0.98455,0.99982,0.03831,1.99e-05,1.99e-05,1.99e-05
