epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1714.89,0.44389,0.23317,1.01113,0.99745,0.99938,0.99498,0.93956,0.32378,0.15254,0.93787,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1766.93,0.44377,0.23014,1.01186,0.99869,1,0.995,0.9417,0.32659,0.14967,0.93711,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1818.99,0.44228,0.2306,1.01163,0.99938,0.99917,0.995,0.93952,0.32884,0.1505,0.93912,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1871.09,0.43718,0.2268,1.00681,0.99876,0.99925,0.99497,0.93873,0.32961,0.15292,0.94128,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1923.39,0.43742,0.22605,1.00885,0.99876,0.99995,0.99497,0.9415,0.32541,0.14926,0.93969,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1975.53,0.43744,0.22539,1.00832,0.9988,0.99938,0.99499,0.94246,0.32384,0.14625,0.93496,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2030.99,0.43522,0.22569,1.00734,0.99941,0.99938,0.995,0.94215,0.32544,0.14663,0.93965,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2085.06,0.43294,0.22745,1.00381,0.99933,0.99938,0.995,0.94221,0.3251,0.14752,0.9362,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2137.43,0.43431,0.22492,1.00902,0.99837,0.99938,0.995,0.94285,0.32631,0.14938,0.93891,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2189.83,0.42946,0.22253,1.00377,0.99927,1,0.995,0.94509,0.32819,0.15229,0.9424,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2242.2,0.4312,0.22235,1.00581,0.99938,0.99994,0.995,0.94414,0.32227,0.14475,0.93679,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2294.39,0.42378,0.21675,1.0008,0.99866,1,0.995,0.94442,0.32095,0.14372,0.93294,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2346.65,0.42781,0.21891,1.00167,0.9991,1,0.99499,0.9459,0.31977,0.14197,0.93395,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2398.72,0.42835,0.2211,1.00384,0.99875,1,0.995,0.94349,0.32013,0.14193,0.93347,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2451.03,0.42418,0.219,1.00046,0.99797,1,0.995,0.9444,0.31926,0.14348,0.93339,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2504.13,0.42462,0.21763,0.99936,0.99753,0.99994,0.99499,0.94401,0.31703,0.14131,0.93191,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2556.56,0.42395,0.21739,1.00214,0.9993,1,0.995,0.9461,0.31583,0.14155,0.93023,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2608.86,0.42054,0.21363,0.99798,0.99859,0.99876,0.99499,0.94634,0.31433,0.14048,0.92901,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2661.25,0.42175,0.21449,0.99778,0.99919,1,0.995,0.94617,0.31596,0.1397,0.92828,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2713.39,0.41852,0.21548,0.99921,0.99916,1,0.995,0.94628,0.31762,0.14118,0.93061,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2765.55,0.41572,0.21155,0.99505,0.99928,1,0.995,0.94668,0.31646,0.13991,0.92881,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2819.17,0.41582,0.20996,0.99591,0.99912,0.99938,0.995,0.94679,0.31476,0.13753,0.92685,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2871.67,0.41227,0.2076,0.99519,0.99876,0.99898,0.995,0.9467,0.31375,0.13724,0.92789,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2924.1,0.412,0.20883,0.99476,0.99843,0.99876,0.995,0.94598,0.31198,0.13613,0.92647,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2976.42,0.4134,0.20926,0.99552,0.99854,0.99938,0.995,0.94767,0.31096,0.13495,0.92606,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3028.47,0.41071,0.2082,0.99456,0.99933,0.99938,0.995,0.94762,0.31344,0.13416,0.92852,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3080.75,0.41,0.20442,0.99299,0.99929,0.99938,0.995,0.94639,0.31332,0.13351,0.92784,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3132.97,0.40562,0.20337,0.99029,0.99938,0.9998,0.995,0.94663,0.31336,0.13294,0.92852,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
